student_id,student_name,year,batch,branch,cgpa,placement_status,is_placed,company,placed_type,ppc_verification,package_lpa
45,Student 0045,2022,2022-7643,CE,8.48,Rejected,0,,,Verified,0.0
46,Student 0046,2022,2022-7621,EE,7.48,Selected,1,Microsoft,BP Placed,Verified,9.0
47,Student 0047,2022,2022-7638,ME,8.63,Selected,1,Accenture,T&P Placed,Pending,20.5
48,Student 0048,2022,2022-7858,CSE,8.98,Interview,0,,,Pending,0.0
49,Student 0049,2022,2022-7807,EE,9.46,Selected,1,NVIDIA,Self Placed,Verified,20.0
50,Student 0050,2022,2022-7684,ECE,5.92,Interview,0,,,Not Verified,0.0
51,Student 0051,2022,2022-7630,CSE,7.79,Selected,1,Accenture,T&P Placed,Verified,6.0
52,Student 0052,2022,2022-7688,EE,7.63,Shortlisted,0,,,Verified,0.0
53,Student 0053,2022,2022-7603,ME,9.31,In Process,0,,,Not Verified,0.0
54,Student 0054,2022,2022-7845,CSE,7.7,Rejected,0,,,Not Verified,0.0
55,Student 0055,2022,2022-7655,CE,7.95,Selected,1,Amazon,Self Placed,Not Verified,7.0
56,Student 0056,2022,2022-7882,CE,7.76,Shortlisted,0,,,Pending,0.0
57,Student 0057,2022,2022-7873,ME,7.31,Selected,1,Capgemini,BP Placed,Not Joined,24.0
58,Student 0058,2022,2022-7632,EE,6.82,Selected,1,Deloitte,Self Placed,Verified,18.0
59,Student 0059,2022,2022-7719,CE,7.07,Selected,1,Amazon,BP Placed,Not Verified,9.2
60,Student 0060,2022,2022-7715,ME,8.55,Interview,0,,,Verified,0.0
61,Student 0061,2022,2022-7880,CSE,7.02,Selected,1,Google,Off Campus Placed,Pending,9.5
62,Student 0062,2022,2022-7749,CSE,6.56,Rejected,0,,,Pending,0.0
63,Student 0063,2022,2022-7895,ME,6.97,Selected,1,Databricks,BP Placed,Pending,8.0
64,Student 0064,2022,2022-7701,EE,8.96,Rejected,0,,,Not Verified,0.0
65,Student 0065,2022,2022-7860,ME,7.65,Selected,1,Infosys,BP Placed,Verified,8.0
66,Student 0066,2022,2022-7739,ME,8.0,Rejected,0,,,Not Verified,0.0
67,Student 0067,2022,2022-7803,CSE,8.04,Selected,1,Wipro,Off Campus Placed,Verified,28.0
68,Student 0068,2022,2022-7650,ECE,7.88,Selected,1,Google,Off Campus Placed,Verified,8.0
69,Student 0069,2022,2022-7838,CSE,6.72,Shortlisted,0,,,Not Joined,0.0
70,Student 0070,2022,2022-7715,ECE,6.42,Selected,1,Amazon,T&P Placed,Verified,6.2
71,Student 0071,2022,2022-7774,ME,10.0,Rejected,0,,,Not Joined,0.0
72,Student 0072,2022,2022-7689,ME,8.5,Selected,1,Capgemini,Self Placed,Not Verified,6.0
73,Student 0073,2022,2022-7840,CSE,8.22,Rejected,0,,,Not Verified,0.0
74,Student 0074,2022,2022-7630,EE,8.55,Shortlisted,0,,,Verified,0.0
75,Student 0075,2022,2022-7850,ECE,7.47,Selected,1,Amazon,BP Placed,Not Verified,18.0
76,Student 0076,2022,2022-7721,ME,7.17,Rejected,0,,,Pending,0.0
77,Student 0077,2022,2022-7615,ME,7.79,Selected,1,Capgemini,T&P Placed,Verified,15.0
78,Student 0078,2022,2022-7777,ECE,6.55,Selected,1,TCS,Self Placed,Pending,24.0
79,Student 0079,2022,2022-7792,CSE,8.33,In Process,0,,,Not Verified,0.0
80,Student 0080,2022,2022-7628,ME,7.43,Selected,1,Google,Self Placed,Not Joined,7.0
81,Student 0081,2022,2022-7842,CE,9.2,Selected,1,Accenture,Self Placed,Verified,20.0
82,Student 0082,2022,2022-7737,ME,7.49,Selected,1,Deloitte,BP Placed,Pending,15.0
83,Student 0083,2022,2022-7621,ECE,7.9,Rejected,0,,,Not Joined,0.0
84,Student 0084,2022,2022-7777,ME,7.56,Interview,0,,,Verified,0.0
85,Student 0085,2022,2022-7800,EE,6.97,Selected,1,NVIDIA,Off Campus Placed,Verified,28.2
86,Student 0086,2022,2022-7610,CSE,8.71,Rejected,0,,,Pending,0.0
87,Student 0087,2022,2022-7712,ECE,8.69,Rejected,0,,,Pending,0.0
88,Student 0088,2022,2022-7823,ECE,8.76,In Process,0,,,Verified,0.0
89,Student 0089,2022,2022-7626,EE,8.45,Rejected,0,,,Not Verified,0.0
90,Student 0090,2022,2022-7859,ECE,7.2,Rejected,0,,,Pending,0.0
91,Student 0091,2022,2022-7636,ECE,5.97,Selected,1,Microsoft,BP Placed,Pending,8.0
92,Student 0092,2022,2022-7753,ME,6.51,Selected,1,Google,T&P Placed,Not Verified,7.2
93,Student 0093,2022,2022-7823,CE,7.68,Selected,1,Accenture,BP Placed,Verified,20.2
94,Student 0094,2022,2022-7695,EE,9.17,In Process,0,,,Not Joined,0.0
95,Student 0095,2022,2022-7749,CE,7.98,Rejected,0,,,Not Verified,0.0
96,Student 0096,2022,2022-7608,CE,6.62,Selected,1,NVIDIA,T&P Placed,Pending,29.0
97,Student 0097,2022,2022-7811,CSE,8.24,Selected,1,Siemens,T&P Placed,Verified,20.0
98,Student 0098,2022,2022-7768,ME,7.62,Rejected,0,,,Not Verified,0.0
99,Student 0099,2022,2022-7685,EE,8.87,Selected,1,NVIDIA,Self Placed,Verified,12.5
100,Student 0100,2022,2022-7848,CSE,7.13,In Process,0,,,Not Verified,0.0
101,Student 0101,2022,2022-7685,ME,6.1,Selected,1,Infosys,Self Placed,Pending,6.2
102,Student 0102,2022,2022-7887,ECE,7.94,Selected,1,NVIDIA,Off Campus Placed,Pending,7.0
103,Student 0103,2022,2022-7611,CSE,8.31,Selected,1,Wipro,BP Placed,Not Verified,9.5
104,Student 0104,2022,2022-7721,ME,8.34,Selected,1,Deloitte,T&P Placed,Verified,24.0
105,Student 0105,2022,2022-7758,ECE,5.93,Selected,1,Infosys,BP Placed,Pending,12.5
106,Student 0106,2022,2022-7825,CE,6.02,Interview,0,,,Not Verified,0.0
107,Student 0107,2022,2022-7768,CSE,7.61,Selected,1,NVIDIA,Off Campus Placed,Not Verified,20.0
108,Student 0108,2022,2022-7868,CSE,8.42,Rejected,0,,,Pending,0.0
109,Student 0109,2022,2022-7696,ECE,8.36,In Process,0,,,Pending,0.0
110,Student 0110,2022,2022-7659,CE,8.47,Selected,1,Amazon,T&P Placed,Not Joined,21.0
111,Student 0111,2022,2022-7871,ME,9.31,Rejected,0,,,Not Verified,0.0
112,Student 0112,2022,2022-7736,ECE,7.43,Interview,0,,,Not Verified,0.0
113,Student 0113,2022,2022-7630,CE,8.27,Interview,0,,,Pending,0.0
114,Student 0114,2022,2022-7600,ECE,7.28,Rejected,0,,,Verified,0.0
115,Student 0115,2022,2022-7652,CSE,6.02,Rejected,0,,,Not Verified,0.0
116,Student 0116,2022,2022-7835,ECE,8.12,Selected,1,Siemens,Self Placed,Verified,12.0
117,Student 0117,2022,2022-7744,ECE,6.7,Rejected,0,,,Not Joined,0.0
118,Student 0118,2022,2022-7840,ME,8.01,Shortlisted,0,,,Not Verified,0.0
119,Student 0119,2022,2022-7794,ME,8.99,Selected,1,Google,BP Placed,Verified,8.2
120,Student 0120,2022,2022-7802,CSE,8.59,Interview,0,,,Not Verified,0.0
121,Student 0121,2022,2022-7759,ECE,8.38,Rejected,0,,,Not Verified,0.0
122,Student 0122,2022,2022-7763,ME,7.62,Rejected,0,,,Not Verified,0.0
123,Student 0123,2022,2022-7770,ECE,7.51,Interview,0,,,Not Verified,0.0
124,Student 0124,2022,2022-7752,CE,9.2,Interview,0,,,Not Joined,0.0
125,Student 0125,2022,2022-7668,CE,6.29,Shortlisted,0,,,Not Verified,0.0
126,Student 0126,2022,2022-7719,CE,7.57,Selected,1,Amazon,T&P Placed,Pending,9.0
127,Student 0127,2022,2022-7630,ME,6.27,In Process,0,,,Pending,0.0
128,Student 0128,2022,2022-7875,EE,7.42,Selected,1,Microsoft,BP Placed,Verified,9.0
129,Student 0129,2022,2022-7776,CSE,6.9,Selected,1,TCS,Off Campus Placed,Verified,28.5
130,Student 0130,2022,2022-7712,CE,7.25,Selected,1,Accenture,BP Placed,Pending,7.0
131,Student 0131,2022,2022-7689,CSE,7.71,In Process,0,,,Not Verified,0.0
132,Student 0132,2022,2022-7626,CSE,8.77,Selected,1,Amazon,T&P Placed,Verified,10.0
133,Student 0133,2022,2022-7860,CE,7.87,Selected,1,Siemens,BP Placed,Pending,12.5
134,Student 0134,2022,2022-7737,ME,7.85,Shortlisted,0,,,Not Joined,0.0
135,Student 0135,2022,2022-7885,EE,8.03,Selected,1,Deloitte,T&P Placed,Verified,7.0
136,Student 0136,2022,2022-7688,ECE,7.32,In Process,0,,,Not Joined,0.0
137,Student 0137,2022,2022-7869,ME,8.97,Selected,1,Google,Self Placed,Verified,11.0
138,Student 0138,2022,2022-7828,EE,7.37,Selected,1,Wipro,BP Placed,Verified,6.5
139,Student 0139,2022,2022-7819,CSE,7.47,Rejected,0,,,Not Joined,0.0
140,Student 0140,2022,2022-7859,CSE,7.29,Rejected,0,,,Pending,0.0
141,Student 0141,2022,2022-7816,CE,8.66,Selected,1,NVIDIA,Self Placed,Verified,18.0
142,Student 0142,2022,2022-7798,ME,7.34,Rejected,0,,,Not Verified,0.0
143,Student 0143,2022,2022-7648,ECE,5.76,Rejected,0,,,Pending,0.0
144,Student 0144,2022,2022-7897,EE,6.89,Rejected,0,,,Not Joined,0.0
145,Student 0145,2022,2022-7713,CSE,6.41,Selected,1,Wipro,Self Placed,Pending,18.2
146,Student 0146,2022,2022-7876,EE,9.23,Selected,1,Microsoft,Self Placed,Verified,24.5
147,Student 0147,2022,2022-7736,CE,6.3,Shortlisted,0,,,Pending,0.0
148,Student 0148,2022,2022-7624,ECE,5.69,Selected,1,Databricks,Self Placed,Verified,10.2
149,Student 0149,2022,2022-7663,ECE,8.0,Selected,1,Databricks,BP Placed,Not Joined,28.2
150,Student 0150,2022,2022-7669,EE,8.82,Selected,1,TCS,BP Placed,Verified,6.0
151,Student 0151,2022,2022-7788,ME,6.13,Shortlisted,0,,,Pending,0.0
152,Student 0152,2022,2022-7736,CE,9.22,Rejected,0,,,Not Verified,0.0
153,Student 0153,2022,2022-7824,EE,7.88,Rejected,0,,,Not Verified,0.0
154,Student 0154,2022,2022-7799,EE,8.16,Selected,1,NVIDIA,Self Placed,Verified,6.0
155,Student 0155,2022,2022-7810,ECE,8.32,Rejected,0,,,Not Joined,0.0
156,Student 0156,2022,2022-7728,EE,9.62,Selected,1,Accenture,Self Placed,Pending,18.0
157,Student 0157,2022,2022-7863,CSE,8.37,In Process,0,,,Not Verified,0.0
158,Student 0158,2022,2022-7881,EE,6.5,In Process,0,,,Not Verified,0.0
159,Student 0159,2022,2022-7789,ME,6.3,Selected,1,Amazon,BP Placed,Verified,12.0
160,Student 0160,2022,2022-7881,EE,7.33,Rejected,0,,,Pending,0.0
161,Student 0161,2022,2022-7891,ECE,8.11,Rejected,0,,,Pending,0.0
162,Student 0162,2022,2022-7619,ECE,8.93,Rejected,0,,,Pending,0.0
163,Student 0163,2022,2022-7709,ME,9.06,In Process,0,,,Not Verified,0.0
164,Student 0164,2022,2022-7835,EE,8.81,Selected,1,Capgemini,Off Campus Placed,Verified,9.2
165,Student 0165,2022,2022-7732,CE,5.42,Selected,1,Accenture,BP Placed,Verified,7.2
166,Student 0166,2022,2022-7734,ME,7.52,In Process,0,,,Not Verified,0.0
167,Student 0167,2022,2022-7635,ECE,9.18,In Process,0,,,Not Verified,0.0
168,Student 0168,2022,2022-7755,CE,8.44,Selected,1,Microsoft,Off Campus Placed,Not Verified,8.0
169,Student 0169,2022,2022-7669,EE,7.96,Selected,1,Siemens,T&P Placed,Verified,10.0
170,Student 0170,2022,2022-7623,ME,7.71,Selected,1,Infosys,T&P Placed,Pending,6.0
171,Student 0171,2022,2022-7864,ECE,8.44,Selected,1,Accenture,Off Campus Placed,Not Joined,28.5
172,Student 0172,2022,2022-7746,CSE,10.0,Selected,1,Deloitte,BP Placed,Verified,9.0
173,Student 0173,2022,2022-7664,ECE,8.94,Selected,1,NVIDIA,T&P Placed,Not Verified,6.5
174,Student 0174,2022,2022-7849,ECE,7.89,Selected,1,Infosys,Off Campus Placed,Verified,28.0
175,Student 0175,2022,2022-7857,CSE,6.96,Shortlisted,0,,,Not Verified,0.0
176,Student 0176,2022,2022-7797,CE,8.1,Selected,1,Capgemini,Off Campus Placed,Pending,8.0
177,Student 0177,2022,2022-7744,EE,9.16,Rejected,0,,,Not Verified,0.0
178,Student 0178,2022,2022-7705,CSE,7.38,Rejected,0,,,Not Verified,0.0
179,Student 0179,2022,2022-7713,CE,7.9,Rejected,0,,,Pending,0.0
180,Student 0180,2022,2022-7819,CE,9.0,Interview,0,,,Not Verified,0.0
181,Student 0181,2022,2022-7880,EE,7.06,Selected,1,Databricks,Self Placed,Verified,18.0
182,Student 0182,2022,2022-7647,ME,7.29,Selected,1,Deloitte,Self Placed,Verified,28.0
183,Student 0183,2022,2022-7802,CSE,7.74,Selected,1,Deloitte,T&P Placed,Not Joined,18.5
184,Student 0184,2022,2022-7637,ME,9.05,Selected,1,Databricks,BP Placed,Not Verified,8.0
185,Student 0185,2022,2022-7776,EE,8.26,Selected,1,NVIDIA,Off Campus Placed,Pending,24.0
186,Student 0186,2022,2022-7891,ECE,7.23,In Process,0,,,Not Verified,0.0
187,Student 0187,2022,2022-7890,ME,5.45,Selected,1,Databricks,Self Placed,Verified,8.0
188,Student 0188,2022,2022-7729,ECE,8.48,Interview,0,,,Not Joined,0.0
189,Student 0189,2022,2022-7890,EE,8.36,Selected,1,Accenture,Self Placed,Verified,8.0
190,Student 0190,2022,2022-7713,CSE,7.86,Rejected,0,,,Verified,0.0
191,Student 0191,2022,2022-7770,CE,7.59,Rejected,0,,,Verified,0.0
192,Student 0192,2022,2022-7681,CSE,9.01,Interview,0,,,Verified,0.0
193,Student 0193,2022,2022-7734,CSE,8.35,Interview,0,,,Not Verified,0.0
194,Student 0194,2022,2022-7852,CE,8.83,In Process,0,,,Not Joined,0.0
195,Student 0195,2022,2022-7679,EE,7.39,Selected,1,Infosys,T&P Placed,Verified,8.0
196,Student 0196,2022,2022-7702,CE,7.94,Selected,1,Amazon,Off Campus Placed,Verified,12.0
197,Student 0197,2022,2022-7823,ME,7.54,Shortlisted,0,,,Not Verified,0.0
198,Student 0198,2022,2022-7803,CE,8.27,Selected,1,Databricks,Off Campus Placed,Verified,7.0
199,Student 0199,2022,2022-7670,CSE,7.28,In Process,0,,,Not Verified,0.0
200,Student 0200,2022,2022-7668,ECE,8.58,Interview,0,,,Not Joined,0.0
201,Student 0201,2022,2022-7658,ME,8.13,Shortlisted,0,,,Not Verified,0.0
202,Student 0202,2022,2022-7691,EE,7.28,Selected,1,TCS,Off Campus Placed,Verified,6.0
203,Student 0203,2022,2022-7864,CE,8.3,In Process,0,,,Pending,0.0
204,Student 0204,2022,2022-7682,EE,6.79,In Process,0,,,Not Joined,0.0
205,Student 0205,2022,2022-7797,ECE,6.31,Selected,1,TCS,BP Placed,Pending,6.0
206,Student 0206,2022,2022-7808,CE,7.86,Rejected,0,,,Not Verified,0.0
207,Student 0207,2022,2022-7691,ECE,6.18,Rejected,0,,,Not Verified,0.0
208,Student 0208,2022,2022-7889,CSE,8.03,Selected,1,Infosys,Self Placed,Verified,6.0
209,Student 0209,2022,2022-7769,CE,7.25,Rejected,0,,,Not Verified,0.0
210,Student 0210,2022,2022-7610,CSE,7.62,Rejected,0,,,Not Joined,0.0
211,Student 0211,2022,2022-7875,ECE,7.94,In Process,0,,,Not Verified,0.0
212,Student 0212,2022,2022-7661,ECE,6.54,Rejected,0,,,Not Verified,0.0
213,Student 0213,2022,2022-7701,CE,7.49,Selected,1,Amazon,Off Campus Placed,Pending,28.5
214,Student 0214,2022,2022-7755,CSE,6.45,Selected,1,TCS,BP Placed,Verified,20.5
215,Student 0215,2022,2022-7874,ME,8.16,Rejected,0,,,Not Verified,0.0
216,Student 0216,2022,2022-7727,CSE,6.63,Selected,1,NVIDIA,Self Placed,Not Joined,6.5
217,Student 0217,2022,2022-7664,EE,9.76,Interview,0,,,Not Verified,0.0
218,Student 0218,2022,2022-7606,ME,6.68,Rejected,0,,,Pending,0.0
219,Student 0219,2022,2022-7768,ME,6.73,Rejected,0,,,Not Verified,0.0
220,Student 0220,2022,2022-7734,ECE,10.0,Interview,0,,,Pending,0.0
221,Student 0221,2022,2022-7622,CSE,7.21,Rejected,0,,,Not Verified,0.0
222,Student 0222,2022,2022-7769,ME,8.66,Interview,0,,,Not Verified,0.0
223,Student 0223,2022,2022-7865,EE,8.76,Shortlisted,0,,,Not Joined,0.0
224,Student 0224,2022,2022-7646,CSE,9.08,Selected,1,Siemens,Self Placed,Verified,7.0
225,Student 0225,2022,2022-7703,ECE,8.14,Selected,1,Capgemini,BP Placed,Verified,15.5
226,Student 0226,2022,2022-7759,CSE,7.66,Rejected,0,,,Not Verified,0.0
227,Student 0227,2022,2022-7613,CE,6.88,Interview,0,,,Not Verified,0.0
228,Student 0228,2022,2022-7707,CSE,8.4,In Process,0,,,Not Verified,0.0
229,Student 0229,2022,2022-7881,CSE,7.55,Rejected,0,,,Pending,0.0
230,Student 0230,2022,2022-7806,CSE,7.7,Selected,1,Google,T&P Placed,Verified,8.2
231,Student 0231,2022,2022-7603,CE,5.31,In Process,0,,,Not Verified,0.0
232,Student 0232,2022,2022-7858,CE,7.03,Rejected,0,,,Pending,0.0
233,Student 0233,2022,2022-7844,ME,7.07,Interview,0,,,Not Joined,0.0
234,Student 0234,2022,2022-7609,CE,7.47,Interview,0,,,Not Verified,0.0
235,Student 0235,2022,2022-7838,CSE,9.67,Selected,1,NVIDIA,Self Placed,Verified,6.5
236,Student 0236,2022,2022-7869,EE,7.71,Selected,1,NVIDIA,BP Placed,Verified,28.0
237,Student 0237,2022,2022-7633,ME,7.24,Rejected,0,,,Pending,0.0
238,Student 0238,2022,2022-7875,CE,7.12,Selected,1,TCS,Self Placed,Verified,9.0
239,Student 0239,2022,2022-7845,ECE,6.83,Selected,1,Siemens,Self Placed,Verified,9.0
240,Student 0240,2022,2022-7815,CSE,7.96,Rejected,0,,,Pending,0.0
241,Student 0241,2022,2022-7853,ECE,7.2,In Process,0,,,Not Verified,0.0
242,Student 0242,2022,2022-7729,ECE,5.74,Interview,0,,,Verified,0.0
243,Student 0243,2022,2022-7730,ME,7.1,Interview,0,,,Not Verified,0.0
244,Student 0244,2022,2022-7743,EE,7.53,Rejected,0,,,Not Joined,0.0
245,Student 0245,2022,2022-7676,EE,7.65,Rejected,0,,,Not Verified,0.0
246,Student 0246,2022,2022-7837,ME,8.41,Rejected,0,,,Not Verified,0.0
247,Student 0247,2022,2022-7825,ECE,8.27,Shortlisted,0,,,Not Verified,0.0
248,Student 0248,2022,2022-7632,EE,8.58,Rejected,0,,,Not Verified,0.0
249,Student 0249,2022,2022-7893,EE,6.28,Selected,1,Accenture,Off Campus Placed,Pending,9.2
250,Student 0250,2022,2022-7686,CE,6.73,Selected,1,Amazon,Self Placed,Verified,9.5
251,Student 0251,2022,2022-7812,CE,8.08,Selected,1,Infosys,T&P Placed,Not Verified,10.5
252,Student 0252,2022,2022-7642,ECE,9.71,Selected,1,Databricks,BP Placed,Not Joined,7.0
253,Student 0253,2022,2022-7651,CE,7.9,Rejected,0,,,Not Verified,0.0
254,Student 0254,2022,2022-7792,EE,7.26,Rejected,0,,,Verified,0.0
255,Student 0255,2022,2022-7872,ECE,8.17,Selected,1,Amazon,Self Placed,Not Verified,15.0
256,Student 0256,2022,2022-7891,CE,7.89,Selected,1,NVIDIA,T&P Placed,Verified,10.0
257,Student 0257,2022,2022-7710,CSE,7.98,In Process,0,,,Not Verified,0.0
258,Student 0258,2022,2022-7870,ME,8.6,Rejected,0,,,Pending,0.0
259,Student 0259,2022,2022-7853,CSE,7.96,Interview,0,,,Verified,0.0
260,Student 0260,2022,2022-7850,ECE,9.3,Selected,1,Capgemini,BP Placed,Not Verified,18.0
261,Student 0261,2022,2022-7663,ME,7.25,Rejected,0,,,Not Verified,0.0
262,Student 0262,2022,2022-7794,ECE,8.02,Interview,0,,,Pending,0.0
263,Student 0263,2022,2022-7838,EE,8.38,Selected,1,NVIDIA,Off Campus Placed,Verified,8.0
264,Student 0264,2022,2022-7719,EE,6.94,Rejected,0,,,Not Verified,0.0
265,Student 0265,2022,2022-7635,EE,7.1,Rejected,0,,,Not Verified,0.0
266,Student 0266,2022,2022-7845,ME,6.8,Rejected,0,,,Not Joined,0.0
267,Student 0267,2022,2022-7614,CSE,6.89,Shortlisted,0,,,Not Verified,0.0
268,Student 0268,2022,2022-7807,ME,7.98,Selected,1,Wipro,BP Placed,Verified,7.0
269,Student 0269,2022,2022-7799,ECE,6.67,Shortlisted,0,,,Not Verified,0.0
270,Student 0270,2022,2022-7816,ECE,6.83,Selected,1,TCS,T&P Placed,Pending,13.0
271,Student 0271,2022,2022-7785,ECE,8.44,Interview,0,,,Pending,0.0
272,Student 0272,2022,2022-7700,CSE,9.13,Selected,1,Deloitte,Off Campus Placed,Verified,28.5
273,Student 0273,2022,2022-7769,ME,6.24,Selected,1,TCS,BP Placed,Not Joined,10.0
274,Student 0274,2022,2022-7622,ME,6.84,Rejected,0,,,Pending,0.0
275,Student 0275,2022,2022-7699,CSE,9.08,In Process,0,,,Pending,0.0
276,Student 0276,2022,2022-7801,CE,7.73,Rejected,0,,,Not Joined,0.0
277,Student 0277,2022,2022-7849,ECE,8.97,Selected,1,Databricks,T&P Placed,Verified,6.2
278,Student 0278,2022,2022-7749,CE,9.11,Selected,1,Infosys,BP Placed,Pending,30.0
279,Student 0279,2022,2022-7629,ME,7.78,In Process,0,,,Not Verified,0.0
280,Student 0280,2022,2022-7660,CE,9.33,Rejected,0,,,Pending,0.0
281,Student 0281,2022,2022-7741,CSE,8.44,In Process,0,,,Not Verified,0.0
282,Student 0282,2022,2022-7775,ME,8.09,Interview,0,,,Not Verified,0.0
283,Student 0283,2022,2022-7870,ME,6.87,Rejected,0,,,Pending,0.0
284,Student 0284,2022,2022-7659,CSE,8.54,Rejected,0,,,Not Verified,0.0
285,Student 0285,2022,2022-7693,ECE,6.9,Selected,1,NVIDIA,Self Placed,Pending,25.0
286,Student 0286,2022,2022-7809,CSE,6.16,Selected,1,Deloitte,Self Placed,Verified,15.5
287,Student 0287,2022,2022-7648,CSE,8.63,Rejected,0,,,Not Verified,0.0
288,Student 0288,2022,2022-7746,CSE,6.96,Selected,1,NVIDIA,Self Placed,Pending,7.5
289,Student 0289,2022,2022-7675,ECE,10.0,In Process,0,,,Verified,0.0
290,Student 0290,2022,2022-7802,ECE,8.8,Selected,1,Microsoft,T&P Placed,Verified,9.0
291,Student 0291,2022,2022-7706,ME,7.64,Interview,0,,,Pending,0.0
292,Student 0292,2022,2022-7670,ME,10.0,Selected,1,Wipro,Off Campus Placed,Pending,10.0
293,Student 0293,2022,2022-7621,ME,8.32,Selected,1,NVIDIA,BP Placed,Verified,10.2
294,Student 0294,2022,2022-7848,ME,9.95,Selected,1,NVIDIA,T&P Placed,Verified,18.2
295,Student 0295,2022,2022-7810,ME,8.81,Rejected,0,,,Not Verified,0.0
296,Student 0296,2022,2022-7643,CSE,7.25,Shortlisted,0,,,Not Verified,0.0
297,Student 0297,2022,2022-7821,CE,8.01,Selected,1,Databricks,Off Campus Placed,Verified,6.0
298,Student 0298,2022,2022-7727,CSE,9.08,Selected,1,Wipro,BP Placed,Verified,24.0
299,Student 0299,2022,2022-7607,ECE,8.15,Selected,1,NVIDIA,Off Campus Placed,Verified,6.2
300,Student 0300,2022,2022-7754,CE,6.38,Selected,1,Capgemini,BP Placed,Not Verified,25.0
301,Student 0301,2022,2022-7704,CE,7.42,Shortlisted,0,,,Not Verified,0.0
